gender,age,education,radio,newspaper,tv,internet
1,71,4,5,6,5,0
1,40,2,6,0,0,0
1,41,2,4,3,7,3
0,65,5,0,0,5,0
0,39,2,0,1,7,7
1,45,6,4,2,3,3
1,57,3,5,7,2,0
0,41,7,7,0,7,7
1,37,6,7,6,3,7
1,69,5,6,6,7,0
0,48,3,1,2,5,4
0,56,4,3,6,6,0
0,42,6,4,6,7,1
0,56,6,6,6,0,6
1,42,4,5,2,5,4
0,67,6,7,7,7,0
1,32,4,5,0,5,0
1,56,5,0,0,5,7
1,75,4,0,0,7,0
0,76,4,7,6,6,0
0,38,4,0,0,7,7
0,46,2,2,0,0,0
0,73,2,0,6,6,0
0,23,6,0,5,3,7
1,65,6,7,6,7,1
0,27,4,3,3,0,7
0,38,6,1,6,7,6
1,55,5,5,6,7,0
0,43,4,5,0,5,0
0,33,4,7,5,5,7
1,42,4,3,7,7,6
0,34,2,0,0,0,0
0,65,,3,0,0,0
1,49,2,5,6,5,7
1,44,6,5,7,7,0
0,52,4,0,7,7,0
1,33,2,6,7,0,0
1,44,2,7,1,1,0
0,69,3,7,6,7,0
0,64,6,0,0,5,0
0,29,6,6,6,3,0
1,37,4,7,7,7,0
0,18,4,0,0,0,0
0,42,4,5,1,5,0
1,41,4,6,0,5,7
0,78,6,0,6,6,1
0,35,2,0,0,0,0
0,52,6,6,6,4,0
0,54,7,4,6,4,0
0,37,4,1,0,7,7
0,53,3,5,6,7,0
0,49,3,0,6,3,1
1,39,4,6,6,7,2
0,49,4,0,6,0,0
0,43,4,0,6,4,7
1,26,7,5,6,5,5
0,46,5,0,6,2,0
0,17,4,4,5,1,7
0,29,4,0,2,7,5
0,26,6,4,5,5,2
0,34,4,4,7,6,6
0,29,4,0,0,0,0
0,23,4,0,6,1,1
1,70,4,7,0,7,7
0,58,4,5,6,7,0
1,52,2,5,3,6,3
0,64,4,4,7,5,0
1,71,6,0,6,5,0
1,13,1,0,0,6,1
0,33,7,0,4,0,1
1,70,7,0,6,4,0
0,64,7,7,6,7,4
0,53,4,0,0,0,0
0,65,5,2,6,4,1
0,65,3,2,6,4,0
0,61,4,3,1,7,0
1,46,7,5,7,4,7
0,46,2,0,0,0,5
1,15,1,1,0,0,0
1,58,2,5,0,0,0
1,20,5,4,3,3,5
0,29,6,3,2,4,1
0,14,2,0,1,0,3
1,58,2,7,0,5,2
1,47,4,5,0,5,0
0,54,4,0,6,3,3
1,35,6,5,0,0,0
0,63,2,0,4,3,4
0,36,6,4,2,3,4
1,18,6,7,5,7,7
1,41,4,0,0,3,7
1,37,5,1,1,1,7
0,17,4,0,0,0,0
0,56,2,7,2,7,0
0,14,3,7,4,4,6
1,48,4,2,6,5,0
0,38,7,0,6,1,5
0,36,6,0,1,1,7
0,74,2,7,6,6,0
1,35,7,0,1,7,0
1,75,7,0,1,1,5
0,47,4,7,0,7,7
0,66,5,7,6,6,0
0,15,3,1,0,0,1
0,29,4,0,0,0,0
1,52,7,7,0,2,4
1,21,4,7,2,7,1
0,27,4,0,1,7,3
1,14,3,7,0,0,1
0,79,2,7,0,7,0
1,21,4,0,0,0,0
1,60,7,2,0,0,7
1,69,5,3,7,7,2
1,16,4,0,0,3,0
1,57,2,1,6,6,0
1,56,7,1,7,5,7
0,35,7,0,0,1,3
0,42,4,0,0,0,0
0,37,4,0,1,4,2
1,39,4,7,2,7,1
1,39,7,7,0,6,7
1,63,6,2,7,7,7
1,38,4,7,1,7,0
0,75,4,7,6,7,0
0,36,7,3,1,5,7
1,40,4,0,6,4,5
1,59,4,3,7,4,0
0,50,4,7,0,7,7
0,15,4,4,2,4,6
1,33,4,4,0,1,1
1,24,5,7,0,0,0
1,89,,7,0,4,0
1,34,4,5,0,0,3
0,56,4,7,6,4,2
1,58,6,5,1,7,1
0,17,4,6,0,0,1
0,38,4,1,1,1,1
1,48,2,2,0,2,2
0,26,6,0,0,0,0
0,47,2,7,2,7,0
1,38,6,5,6,7,7
0,38,6,3,3,4,1
1,50,6,1,7,7,2
0,63,5,1,6,6,1
1,43,6,0,0,3,0
1,55,4,0,0,0,7
0,40,7,0,0,5,7
1,52,6,4,0,2,7
1,52,6,5,7,1,5
1,45,2,3,7,1,0
0,21,4,0,0,0,2
0,19,4,2,0,2,0
0,36,5,6,0,6,1
1,27,4,5,5,7,3
1,71,4,2,7,7,3
0,56,4,5,0,7,2
0,75,4,7,6,6,0
0,24,2,3,0,1,0
0,38,4,4,0,0,3
1,64,6,5,2,5,7
1,74,2,7,7,0,3
1,22,6,0,5,2,1
1,46,4,6,6,3,0
1,45,4,2,2,2,0
1,73,6,1,6,7,0
0,49,4,7,6,7,0
1,81,7,0,7,6,0
0,48,4,0,3,0,0
0,84,2,0,0,7,0
1,55,2,5,0,2,0
0,54,4,7,2,5,2
0,71,2,0,0,0,0
0,73,3,7,7,4,2
1,17,5,0,0,0,0
0,57,5,5,3,7,0
0,15,2,0,2,2,2
1,69,6,0,5,4,7
0,41,6,2,2,0,2
0,46,3,7,7,3,4
1,35,2,0,7,6,1
0,52,3,7,7,7,0
0,65,4,7,7,7,0
1,76,6,3,6,7,7
1,61,4,5,6,7,7
0,64,3,7,7,0,7
0,54,3,2,6,7,6
1,51,2,7,1,6,2
1,53,2,0,0,0,0
0,54,5,5,0,5,5
0,28,4,3,0,5,5
1,78,6,6,6,0,6
1,81,6,0,0,7,0
1,20,3,7,7,4,2
1,55,2,0,2,0,4
0,44,2,0,0,5,0
1,80,7,7,7,3,7
1,59,4,0,0,0,7
1,79,5,0,7,7,2
0,55,5,0,0,0,0
1,25,6,0,0,0,0
1,29,4,6,6,0,0
0,42,4,0,0,0,7
1,78,7,7,7,7,7
0,74,5,5,0,2,0
0,41,4,5,0,4,1
0,49,3,5,6,5,0
1,57,2,6,6,6,0
0,61,3,0,6,4,0
0,73,6,7,7,7,2
0,84,3,2,6,7,0
0,59,2,3,6,6,0
1,65,7,7,7,7,7
1,76,4,3,7,7,5
1,74,2,0,0,3,0
1,76,6,5,6,5,1
1,77,4,7,7,7,7
1,41,4,0,1,5,2
0,44,4,1,2,7,7
1,95,7,0,7,6,0
1,56,5,5,7,5,2
0,85,3,6,7,7,0
1,80,4,7,6,4,3
0,25,6,3,1,5,7
0,52,5,3,3,7,0
1,78,6,2,0,7,0
1,70,2,4,0,3,0
1,61,2,0,7,2,0
1,21,4,0,0,0,0
0,78,1,4,6,7,5
1,66,1,0,0,7,0
1,14,2,0,2,2,0
1,55,4,1,2,1,1
1,16,2,0,0,6,0
0,83,4,0,0,4,0
1,56,4,5,1,4,0
1,33,6,7,0,5,1
0,59,2,0,6,5,0
0,70,3,0,7,3,7
1,28,6,2,2,2,0
1,53,1,0,0,1,0
0,59,4,7,1,7,0
0,42,6,7,7,7,1
1,70,4,7,7,7,7
1,62,6,7,7,7,7
1,68,7,0,0,6,0
0,61,3,7,6,6,3
1,51,6,2,0,3,7
1,29,4,0,0,0,0
1,73,3,4,7,4,7
1,45,6,5,0,0,0
1,70,3,4,7,6,2
1,74,3,7,1,5,7
0,54,6,4,6,7,4
0,53,5,5,6,6,0
1,40,6,6,6,2,6
0,39,4,1,0,1,0
0,66,3,7,6,7,2
0,16,3,0,0,5,0
0,72,1,6,0,6,4
1,46,6,1,6,5,7
0,41,6,5,2,5,7
0,62,2,7,7,7,5
0,48,7,0,1,7,5
1,63,3,7,1,7,7
0,13,2,0,0,0,0
1,57,6,6,0,6,0
0,39,4,0,0,0,0
1,66,6,4,6,7,1
1,47,6,5,2,2,5
1,15,3,0,7,0,7
1,60,4,7,2,7,7
1,61,3,5,7,5,5
0,37,6,3,0,7,7
1,67,4,5,6,5,0
0,57,3,4,7,6,0
1,42,4,6,6,2,2
1,22,4,0,3,4,0
0,47,2,7,6,7,0
1,51,3,3,0,3,3
1,58,4,7,1,7,0
0,22,6,0,3,4,6
1,40,7,0,0,3,3
1,45,4,5,6,7,7
1,53,7,2,0,7,7
1,55,5,7,7,3,3
0,44,4,0,6,7,0
1,39,6,0,0,5,5
0,56,3,5,7,5,4
0,13,1,0,2,0,1
1,65,6,5,6,4,1
0,30,7,5,6,0,6
1,47,4,4,0,5,0
0,47,7,7,7,0,5
0,44,4,0,6,3,7
0,54,4,5,1,4,0
1,47,4,3,6,5,0
0,68,3,7,7,7,7
1,55,3,3,5,2,1
1,40,4,7,6,4,4
1,42,5,5,1,2,1
1,15,,6,0,5,1
0,18,4,2,0,2,3
0,53,4,2,3,1,0
1,30,4,5,1,6,7
1,36,6,5,1,0,3
0,32,6,7,2,7,5
1,29,4,5,0,6,6
0,59,1,2,7,5,7
0,32,7,0,1,2,3
1,32,,5,1,5,7
0,54,4,0,0,7,4
0,59,1,2,0,4,0
0,45,2,4,6,7,2
0,67,3,2,6,5,0
0,68,1,0,5,3,0
0,59,4,3,6,1,0
1,39,2,0,0,3,5
1,54,5,5,1,2,2
1,49,2,6,3,2,1
0,16,1,0,0,0,0
1,33,4,3,6,4,7
1,45,7,5,1,6,6
1,36,4,5,2,7,7
1,46,2,5,0,0,0
1,39,3,7,6,3,5
0,61,1,0,1,5,0
0,68,5,7,6,7,0
0,51,3,0,1,7,7
1,56,7,6,7,4,4
1,14,1,3,2,0,0
0,43,4,1,6,7,7
0,62,3,7,7,2,0
1,15,5,0,1,3,2
0,45,6,0,1,4,7
1,43,7,0,1,1,7
1,64,4,0,6,7,0
1,20,4,3,2,4,0
0,72,3,0,6,7,0
0,33,4,1,1,0,5
1,64,2,6,1,7,7
1,77,4,7,6,6,0
0,68,3,7,6,5,0
0,49,4,7,7,2,7
0,82,6,0,0,7,0
0,58,4,0,1,5,0
0,31,7,5,6,4,6
0,63,5,6,0,1,1
1,58,3,0,7,5,0
1,16,3,0,1,4,1
1,54,2,7,1,7,7
0,59,4,7,0,5,0
0,52,2,0,0,3,0
0,52,6,4,5,2,0
0,42,4,3,5,5,0
0,37,6,0,1,4,1
0,20,5,7,1,5,2
1,50,2,0,6,7,0
1,41,7,3,0,7,0
1,41,6,0,6,4,3
0,32,7,7,6,5,0
0,56,3,0,7,4,0
1,32,6,4,1,7,3
1,37,4,5,4,4,0
0,27,4,2,0,7,7
1,18,5,1,1,1,7
1,44,2,0,6,0,3
0,59,4,7,0,0,0
0,29,6,7,1,3,4
1,30,6,4,0,0,6
0,47,3,0,0,1,0
1,43,4,5,0,2,3
0,28,4,7,1,1,1
1,34,6,5,0,7,7
1,15,3,0,0,0,2
1,78,2,1,7,7,5
1,44,2,5,1,2,0
0,33,7,1,0,5,6
1,68,6,6,6,6,1
1,18,5,0,0,3,6
0,63,4,7,6,6,0
1,54,6,4,6,4,5
1,40,7,2,6,5,5
0,50,4,4,6,7,0
1,13,1,7,1,1,0
1,23,7,0,0,0,7
1,46,7,0,0,0,0
0,65,3,0,6,7,0
0,31,4,0,0,7,7
1,56,6,7,0,1,4
1,16,5,7,2,0,0
1,66,6,7,7,7,7
0,46,4,0,6,2,1
1,17,4,0,2,3,0
1,15,1,3,0,0,0
1,24,7,3,2,2,7
0,13,6,0,0,3,1
0,61,2,0,5,5,3
1,59,3,5,6,4,0
0,45,4,3,6,2,3
1,17,2,0,0,6,6
1,18,4,0,0,3,0
1,61,6,4,2,5,4
1,35,4,5,0,2,0
1,50,4,0,5,7,0
1,66,4,0,6,7,0
0,52,4,6,0,3,5
0,57,4,0,6,5,4
0,68,6,0,7,6,4
1,42,4,5,1,4,5
0,20,4,3,7,2,7
1,61,5,7,6,7,1
1,87,2,6,6,6,0
1,68,2,0,6,5,0
1,57,4,1,6,6,2
0,46,4,3,4,4,5
0,19,6,1,3,5,4
1,59,3,6,7,6,4
1,48,4,3,6,2,7
1,52,2,0,0,0,5
0,64,2,7,6,7,7
1,45,7,5,6,7,5
0,53,3,0,0,7,0
0,48,2,4,1,6,3
1,68,2,0,0,0,0
0,28,3,5,0,5,0
1,53,6,5,5,3,1
1,68,2,4,0,4,4
0,38,4,6,0,1,0
0,41,2,7,0,7,7
1,74,4,7,6,7,1
1,55,2,5,0,2,1
0,66,3,0,7,1,0
1,72,6,1,6,5,0
0,49,1,4,0,7,0
1,48,2,6,2,3,6
0,52,5,7,6,0,1
0,41,2,3,3,3,3
1,78,6,6,6,6,1
1,18,4,2,0,0,0
0,57,2,7,6,7,0
1,44,4,7,0,5,7
1,62,7,5,7,7,7
0,14,5,0,0,0,0
1,61,6,7,7,7,3
1,45,2,5,0,5,3
0,66,3,7,6,7,0
1,72,6,7,6,7,0
1,84,4,0,7,7,0
0,14,2,0,0,0,0
1,46,4,7,2,6,6
1,17,5,2,0,3,3
0,62,4,7,6,6,0
1,14,3,4,1,6,1
0,62,3,5,4,3,0
1,23,2,3,6,6,0
1,40,4,5,7,5,0
1,61,2,5,5,7,0
0,46,3,0,5,0,0
1,55,6,7,7,5,7
0,15,3,0,0,1,2
0,80,6,7,7,7,0
0,43,4,5,0,1,0
0,44,3,0,0,3,2
1,16,2,0,0,5,5
1,60,2,0,6,5,0
1,73,2,7,7,7,7
1,33,7,2,6,0,1
0,13,3,0,0,0,0
0,42,2,5,2,5,0
1,68,6,7,6,6,2
0,13,3,4,0,1,3
0,26,7,3,0,3,7
0,56,3,5,7,3,7
1,17,5,1,1,2,1
0,62,3,7,7,7,7
1,21,5,4,6,3,4
0,38,6,0,6,5,0
1,48,4,0,4,3,1
1,76,6,0,0,0,0
0,53,6,7,6,7,0
0,49,6,4,6,3,7
0,46,4,2,7,4,6
0,40,6,0,0,2,0
0,35,5,2,0,0,0
0,20,4,0,2,5,1
0,48,5,2,6,6,2
0,75,5,0,6,5,0
1,46,4,0,0,0,0
1,46,4,5,0,5,7
0,56,6,7,6,7,0
1,78,4,7,6,7,0
1,34,7,7,3,6,5
0,78,3,0,5,7,0
1,51,7,5,6,7,7
1,14,3,0,0,0,0
0,51,5,0,6,7,1
0,20,6,0,6,2,3
0,50,4,0,0,0,0
0,42,6,0,6,5,0
1,71,6,7,7,7,0
1,16,5,7,0,0,7
1,52,2,5,0,3,7
1,73,4,7,6,6,0
1,54,4,2,2,3,2
0,72,3,3,0,0,3
1,40,4,5,6,4,7
1,42,2,7,0,7,0
0,58,6,7,3,7,2
1,38,6,5,5,5,7
1,69,3,2,0,6,2
0,74,7,7,7,7,0
0,48,5,0,6,6,0
1,42,4,7,6,7,7
0,51,4,7,6,6,7
0,43,4,5,0,1,0
0,63,3,7,1,4,0
1,61,4,7,6,7,0
1,45,2,2,0,5,2
1,56,6,5,6,7,1
0,19,4,0,0,0,0
1,55,6,1,0,7,7
1,82,6,5,6,6,0
1,44,6,5,6,4,3
1,61,4,4,0,2,1
1,75,6,0,6,4,7
1,33,7,5,6,7,7
1,60,2,4,0,5,0
1,61,4,5,7,3,2
1,18,2,0,2,1,0
1,62,4,4,7,1,7
1,77,4,7,7,7,0
1,59,,0,6,3,7
0,31,4,5,6,7,1
0,70,3,5,6,5,0
1,46,7,0,5,0,7
1,65,4,5,6,7,7
1,48,6,4,6,7,1
1,61,7,0,6,7,2
1,40,7,0,2,1,7
1,40,6,0,0,5,5
1,70,5,7,7,7,2
0,21,5,5,4,5,5
0,48,4,5,0,7,1
1,46,4,1,1,2,7
1,52,7,5,4,3,1
0,66,6,0,0,5,4
1,79,1,7,0,7,0
1,72,7,7,7,7,6
0,60,4,7,7,1,1
1,57,4,0,6,1,0
0,49,4,2,6,4,1
0,41,4,6,0,0,2
1,56,2,5,6,6,0
1,52,6,7,6,7,0
1,23,4,0,0,3,0
0,68,3,5,6,5,0
1,80,5,0,0,0,0
0,43,6,0,0,6,7
1,64,5,7,6,7,7
0,71,6,4,5,1,1
1,53,7,7,7,5,7
1,69,4,0,0,7,7
1,51,3,5,4,2,6
0,71,2,7,7,7,0
0,40,6,4,0,4,0
0,60,6,5,0,7,3
0,50,7,7,6,6,3
1,70,4,5,7,7,0
0,61,4,7,6,7,0
1,59,4,4,0,6,2
1,39,7,1,6,6,7
1,53,6,7,0,4,7
1,66,4,6,7,7,6
0,44,6,1,0,7,7
1,78,3,0,5,5,0
0,19,3,0,2,2,0
0,60,6,0,3,7,3
1,47,4,0,0,3,1
1,52,5,5,0,1,5
0,51,5,6,6,6,0
0,39,6,2,6,2,2
0,65,6,0,0,7,0
0,21,4,0,0,1,0
1,42,4,5,0,1,7
0,60,7,7,6,3,0
0,72,3,7,7,7,0
1,45,7,2,6,5,5
1,46,3,3,0,0,7
1,65,5,7,7,5,1
0,52,5,4,1,3,3
0,18,6,3,0,0,0
1,59,5,7,6,3,3
1,72,7,7,6,6,0
1,57,2,7,6,7,0
0,73,3,5,6,6,0
1,52,5,7,3,2,7
0,68,3,4,6,0,0
1,35,4,0,0,3,5
1,49,7,5,6,3,1
0,30,6,5,2,2,5
1,19,4,0,0,0,7
1,57,6,1,1,6,1
0,54,4,3,0,7,7
0,58,5,0,7,7,7
0,71,4,5,6,5,0
0,40,6,1,6,5,1
1,47,4,7,7,7,7
1,44,4,5,6,3,7
1,65,6,0,6,3,0
1,45,2,0,0,3,2
1,17,3,0,0,0,0
0,76,4,0,7,7,0
0,21,5,0,6,7,0
0,18,4,0,0,5,0
0,16,5,2,0,3,0
0,66,6,3,0,7,1
1,70,6,7,6,6,1
0,71,6,7,6,7,0
1,66,4,4,0,7,1
0,71,4,7,7,7,0
0,39,6,3,2,4,7
0,71,4,7,7,7,0
1,73,2,7,7,7,0
0,14,1,2,2,3,3
0,73,2,1,7,7,6
0,30,7,0,0,4,1
0,80,4,3,6,6,3
1,37,6,7,4,7,4
1,70,6,3,6,5,5
0,64,3,7,0,7,7
1,33,5,5,6,4,0
0,67,5,1,7,7,2
0,52,3,0,0,1,7
1,14,1,0,0,0,0
0,65,1,0,7,6,0
0,49,2,1,0,1,2
1,70,2,0,0,5,1
0,18,5,0,0,0,0
1,35,7,4,6,6,7
0,68,3,0,1,2,2
1,37,4,5,5,4,7
0,59,3,0,0,5,1
0,74,3,7,6,2,0
0,72,2,5,6,7,0
0,46,7,0,0,1,0
0,18,4,0,0,0,0
0,49,5,7,6,1,4
0,59,3,7,7,7,0
0,77,4,7,7,7,0
0,59,7,5,7,7,5
0,61,2,0,0,4,0
1,75,6,6,6,6,0
0,16,3,3,1,1,1
1,13,1,0,0,1,1
1,84,4,2,3,7,6
0,73,1,0,6,6,6
1,13,2,0,0,0,0
1,74,4,7,6,6,0
1,68,6,7,6,7,0
1,22,4,0,0,1,0
0,74,3,5,7,5,2
1,71,2,5,0,7,7
1,66,,0,5,1,7
0,19,6,2,4,0,0
0,59,2,7,0,3,7
0,52,2,1,4,3,0
1,74,2,0,0,6,0
1,36,5,7,4,4,6
1,21,4,5,7,7,0
1,64,2,0,0,7,7
0,52,5,7,1,2,7
0,36,5,0,1,5,0
0,68,4,0,0,7,2
0,76,2,0,6,3,0
1,53,4,5,5,0,0
1,13,1,0,1,0,0
0,13,2,3,0,4,3
1,43,3,5,0,5,5
1,49,6,5,6,7,2
0,36,4,7,0,1,4
0,21,4,0,5,1,2
1,66,2,0,0,0,0
0,61,1,0,0,0,5
0,68,2,2,6,7,0
0,60,3,5,0,5,3
1,45,6,0,5,4,1
0,35,7,0,5,7,7
0,45,5,4,6,5,2
1,62,2,7,0,7,0
1,50,6,0,1,6,5
0,41,4,5,4,2,7
